dep_hour,day_name,AVG(avg(prediction))
13,1-Mon,0.470065436077742
13,6-Sat,0.563305978898007
13,5-Fri,0.6038869589709887
13,4-Thu,0.511305906962845
13,7-Sun,0.5379802522240689
13,2-Tue,0.42587804352510233
13,3-Wed,0.38919502971366826
19,5-Fri,0.8256196914543248
19,4-Thu,0.8187562054337034
19,2-Tue,0.6080386189526708
19,7-Sun,0.8370973389355743
19,3-Wed,0.5659065344104715
19,1-Mon,0.6783856502242153
19,6-Sat,0.8217787518744953
11,1-Mon,0.4072886297376093
11,6-Sat,0.46212546291100887
11,3-Wed,0.3440996411230737
11,2-Tue,0.35140347118063
11,7-Sun,0.45955955955955957
11,4-Thu,0.4144873186617981
11,5-Fri,0.49438644869017134
7,1-Mon,0.009989422963920554
7,7-Sun,0.012527365604475796
7,4-Thu,0
7,3-Wed,0.000535475234270415
7,6-Sat,0.01388161341016239
7,2-Tue,0.009446004595353587
7,5-Fri,0.01700558924961351
21,5-Fri,0.8419487324741538
21,7-Sun,0.8548180420297283
21,1-Mon,0.6991072735255378
21,6-Sat,0.8266944734098018
21,2-Tue,0.663284323876579
21,3-Wed,0.642314990512334
21,4-Thu,0.8357909806728704
15,2-Tue,0.5951607078367642
15,1-Mon,0.6493239588967009
15,7-Sun,0.8116496598639455
15,6-Sat,0.7673873404532431
15,5-Fri,0.7996858638743456
15,4-Thu,0.7803645947726774
15,3-Wed,0.5504326182292284
5,6-Sat,0.015174506828528073
5,5-Fri,0.01092896174863388
5,2-Tue,0.004410143329658214
5,3-Wed,0
5,1-Mon,0.004493464052287581
5,7-Sun,0.009345794392523364
5,4-Thu,0
12,1-Mon,0.45223477406679763
12,6-Sat,0.5295336787564767
12,3-Wed,0.3851789236404621
12,5-Fri,0.5663549189061206
12,2-Tue,0.41052772568979373
12,4-Thu,0.4779749348554411
12,7-Sun,0.49948691636736786
22,6-Sat,0.8465553235908142
22,1-Mon,0.7390277504428262
22,2-Tue,0.62094682230869
22,5-Fri,0.8694694327152561
22,4-Thu,0.8449145962732919
22,7-Sun,0.8925646378673519
22,3-Wed,0.6412347117064647
0,1-Mon,0.5284210526315789
0,7-Sun,0.45691906005221933
0,4-Thu,0.4140845070422535
0,6-Sat,0.44029850746268656
0,3-Wed,0.4140127388535032
0,2-Tue,0.5272727272727272
0,5-Fri,0.44372294372294374
18,1-Mon,0.6962273395394415
18,2-Tue,0.5997308468710949
18,7-Sun,0.8380747469917922
18,6-Sat,0.8210434275721364
18,4-Thu,0.8276643990929705
18,5-Fri,0.8362055335968379
18,3-Wed,0.5854535398230089
10,4-Thu,0.20899080485866728
10,5-Fri,0.2956636005256242
10,2-Tue,0.2325281425891182
10,3-Wed,0.18413496051687006
10,1-Mon,0.22969488611946712
10,6-Sat,0.30389351909441475
10,7-Sun,0.30345217883418224
20,3-Wed,0.6045134621829963
20,5-Fri,0.8519802409220903
20,1-Mon,0.7157005269852807
20,7-Sun,0.8668418747262374
20,6-Sat,0.838019955941428
20,2-Tue,0.6347101619338184
20,4-Thu,0.8467419002548234
6,6-Sat,0.011619718309859155
6,3-Wed,0
6,5-Fri,0.008720493158923471
6,1-Mon,0.004678727386150967
6,7-Sun,0.006148867313915857
6,2-Tue,0.006630200563567048
6,4-Thu,0
8,2-Tue,0.04159343878148799
8,6-Sat,0.06492753623188406
8,4-Thu,0.026675341574495772
8,5-Fri,0.07562683991472947
8,3-Wed,0.025172696405573118
8,7-Sun,0.06430374190716559
8,1-Mon,0.04472346165819238
1,5-Fri,0.5102040816326531
1,4-Thu,0.5813953488372093
1,2-Tue,0.5833333333333334
1,1-Mon,0.5
1,3-Wed,0.46153846153846156
1,7-Sun,0.4722222222222222
1,6-Sat,0.6666666666666666
14,3-Wed,0.46511893870082344
14,2-Tue,0.48903301886792455
14,4-Thu,0.6110165886856657
14,5-Fri,0.6622343104664048
14,1-Mon,0.5671252866374817
14,6-Sat,0.6339081917321836
14,7-Sun,0.6434920634920634
23,5-Fri,0.803960396039604
23,1-Mon,0.6578947368421053
23,2-Tue,0.6026666666666667
23,4-Thu,0.7769556025369979
23,7-Sun,0.7868480725623582
23,3-Wed,0.5993827160493828
23,6-Sat,0.7835294117647059
17,2-Tue,0.5830312641594925
17,6-Sat,0.7834910500513055
17,7-Sun,0.8164394388460778
17,5-Fri,0.8184029185245237
17,3-Wed,0.557136554158394
17,4-Thu,0.7959958932238193
17,1-Mon,0.659
9,1-Mon,0.09141884449784721
9,2-Tue,0.09423421524190999
9,4-Thu,0.06202910517081226
9,7-Sun,0.13433454168824444
9,6-Sat,0.14209085933223864
9,5-Fri,0.1197274822162108
9,3-Wed,0.07323669407183038
16,2-Tue,0.5974448055586686
16,6-Sat,0.7921348314606742
16,7-Sun,0.8173982762076568
16,4-Thu,0.7954387013245693
16,1-Mon,0.6658622423328305
16,3-Wed,0.5554927667269439
16,5-Fri,0.8187693172239393